448
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.38874957,-0.1302539,-0.88141936,0.23453705,4.1290226,0.84488755,4.7756276,3,1,1,0.16000001
2,0,0,0,1,5.6076035,1.1264586,4.6674609,7,1,0,0.072000004
3,-0.71775675,0.050599273,0.52928352,0.44958192,5.3461637,1.6062738,5.4869237,7,1,1,0.032000002
4,0,0,0,1,0.25693551,2.2058799,0.99561501,1,1,0,0.0080000004
5,-0.83577454,0.24640866,-0.48684376,0.061211951,5.3427315,1.6626996,4.0158825,2,1,0,0.0080000004
6,-0.90203243,0.30794388,0.055587258,0.29735181,1.9670439,0.9334563,5.4971046,2,1,0,0.0080000004
7,-0.13055052,-0.36044648,0.84526724,0.37223402,0.067326516,0.78686363,3.9039071,3,1,1,0.048
8,0.084635653,0.69687694,-0.53060246,0.47503731,4.5138216,1.5086389,1.6775984,1,1,0,0.0080000004
9,-0.53946501,-0.59936887,-0.51990372,0.28184155,1.9119867,1.8760456,0.23608519,2,1,1,0.088000007
10,-0.034932703,-0.63968432,-0.57261348,0.51156384,2.3578897,1.3906562,5.6085925,2,1,1,0.016000001
11,0,0,0,1,1.1071737,1.3310395,3.4896345,5,1,0,0.064000003
12,-0.75643539,0.093860805,-0.40869242,0.50196224,1.8129377,1.2309223,2.4875431,1,1,0,0.0080000004
13,-0.033295218,-0.32943746,0.041606892,0.94267237,1.4259628,0.67497152,4.7690053,6,1,1,0.16800001
14,0.038451724,-0.81863159,0.34639692,0.45647871,0.96859425,1.9211954,4.0163145,3,1,1,0.056000002
15,-0.3382979,-0.8683911,0.22109261,0.28734899,0.54349905,2.3995612,4.4280548,2,1,1,0.024
16,0.8836723,-0.29358384,0.36003119,0.057526398,2.2491164,2.8974438,5.4125466,3,1,0,0.048
17,0,0,0,1,1.1331244,1.2830745,1.8072647,6,1,0,0.024
18,-0.14914857,0.7674678,-0.32026416,0.53495681,1.1193615,1.8506118,0.10827131,1,1,0,0.0080000004
19,-0.35411885,0.40195888,0.62975985,0.56252235,4.592865,1.1306657,0.0068555404,5,1,1,0.104
20,0.36522445,-0.24735498,0.89650851,0.041220672,1.0214367,0.91365856,2.2120495,1,1,1,0.0080000004
21,0.752253,0.58282763,-0.24146576,0.19005708,4.7047353,2.5169039,3.386395,7,1,1,0.28
22,0,0,0,1,5.5558038,1.6301627,1.1987525,10,1,0,0.16000001
23,-0.03545985,-0.39360559,-0.89404756,0.21094133,2.8200431,0.81257039,6.1413302,2,1,1,0.0080000004
24,-0.14914857,0.7674678,-0.32026416,0.53495681,5.238625,2.441988,1.9842846,6,1,0,0.048
25,-0.41624588,-0.083186634,0.64831614,0.63206458,5.6823459,0.87676817,5.2878437,8,1,1,0.048
26,-0.010837309,-0.99249899,-0.07744056,0.093974732,3.7579479,1.6960547,0.17988639,1,1,0,0.0080000004
27,0.12162761,-0.83758336,-0.20757399,0.49048331,2.1606083,1.1953381,5.0805302,4,1,0,0.024
28,0.60727978,-0.26228091,-0.20945574,0.72010297,3.0169556,1.4456298,3.8323476,5,1,1,0.15200001
29,0,0,0,1,5.1193037,0.49922094,2.6303809,1,1,0,0.0080000004
30,0.46766073,0.53579038,0.69998968,0.065089308,5.8984766,1.5860718,0.25462702,12,1,0,0.208
31,-0.28919396,0.21547624,0.093519099,0.92800379,5.542397,0.73791373,0.53991747,11,1,1,0.39200002
32,0,0,0,1,5.7257166,1.0184946,0.8321467,1,1,0,0.0080000004
33,-0.36047265,-0.67247045,-0.63945454,0.094555929,5.6306601,1.706583,3.9454761,1,1,0,0.0080000004
34,0.019655578,0.59986895,-0.23918375,0.76325756,4.9833136,1.2874794,1.9072303,3,1,1,0.080000006
35,-0.33690542,-0.72582871,-0.56665176,0.19640061,2.3733792,1.8552834,0.10093091,3,1,1,0.024
36,-0.14914857,0.7674678,-0.32026416,0.53495681,5.3025417,1.9174689,3.6363919,2,1,0,0.0080000004
37,0.69467938,-0.26941016,0.072984569,0.66295701,5.2422657,1.7821655,0.93592066,7,1,0,0.032000002
38,-0.14914857,0.7674678,-0.32026416,0.53495681,3.1829009,0.50482774,2.834887,2,1,0,0.016000001
39,-0.14914857,0.7674678,-0.32026416,0.53495681,2.5830765,1.7538623,4.3153152,4,1,0,0.112
40,0.19775592,0.4210979,-0.86910373,0.16801159,4.7732172,2.3215675,5.0195618,3,1,0,0.0080000004
41,0.50018758,-0.44531661,0.077865556,0.73854071,2.3091195,1.4676024,3.7639787,9,1,1,0.41600001
42,0,0,0,1,2.0413451,0.94503582,3.6849756,2,1,0,0.0080000004
43,0,0,0,1,0.39068294,2.1763005,1.4158423,1,1,0,0.0080000004
44,0,0,0,1,3.8509755,1.0379236,4.9296761,3,1,0,0.040000003
45,-0.057691433,0.5500254,0.78593391,0.27649882,3.5843849,1.1720238,0.23377927,2,1,1,0.0080000004
46,-0.019719122,-0.76238495,-0.002115878,0.64681977,1.5482084,1.7347696,4.7415195,5,1,1,0.080000006
47,-0.06608288,0.39305863,0.75987923,0.51353824,3.9024694,0.81992519,0.42774272,13,1,1,0.97600007
48,-0.14914857,0.7674678,-0.32026416,0.53495681,2.9082017,1.9394791,4.0575309,2,1,0,0.0080000004
49,0.81966865,-0.33557048,-0.45051965,0.11210611,4.3755865,2.2355449,5.3775635,10,1,0,0.384
