2737,,,,,,,,,,,,,,
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes,Radius,Diameter,Avg Diameter
46,-0.19601543,-0.81050646,0.54339278,0.096857883,1.236606,1.4524401,2.0590682,1,1,0,1000,6.203504909,12.40700982,
47,0.27349776,-0.45245695,0.79330933,0.30189729,1.732064,1.1586733,1.7580093,23,1,0,393000,45.43961542,90.87923083,
48,-0.75687057,0.21565847,0.077810064,0.61203265,3.9214444,1.0563312,1.3574798,29,1,0,320000,42.43137672,84.86275344,
49,-0.28163823,-0.43002978,0.60498065,0.60807294,5.309608,1.117631,3.0554559,15,1,0,108000,29.54235066,59.08470131,
50,0.35267863,0.084311031,-0.31297812,0.87781215,3.71874,0.74214739,3.2494297,1,1,1,2000,7.815926418,15.63185284,
51,-0.37432519,-0.17605266,0.032318059,0.90985799,6.1240225,2.1886017,5.3845077,2,1,0,2000,7.815926418,15.63185284,
52,0.44048554,-0.020923611,0.36141431,0.82153171,2.0640824,2.3448365,0.7115525,17,1,0,142000,32.36432684,64.72865368,
53,-0.47922993,-0.50180119,-0.71906358,0.038493078,5.8769598,1.0004194,2.9375308,7,1,0,37000,20.67145461,41.34290923,
54,0.28577971,-0.42256123,-0.24976192,0.82303762,5.1677198,2.1457386,5.3330021,4,1,0,9000,12.90381021,25.80762041,
55,-0.23597193,-0.32228577,0.65189791,0.64457613,5.9657464,1.1707691,1.1899511,15,1,0,133000,31.66559677,63.33119355,
56,-0.66106147,0.63873714,-0.03390133,0.39225411,5.6011734,2.3322506,0.85443723,9,1,1,81000,26.84100687,53.68201374,
57,0.3532317,0.036005978,-0.26940268,0.89518327,1.6930834,1.4206505,6.1719356,1,1,0,1000,6.203504909,12.40700982,
58,0.78514725,0.42582881,0.43689653,0.10646612,1.6296103,1.3989655,3.333854,11,1,0,22000,17.38246474,34.76492949,
59,-0.80257612,-0.21367231,-0.26454389,0.49013492,3.8189154,2.6101542,0.49044058,17,1,0,314000,42.16450565,84.32901131,
60,-0.27044255,-0.65399051,0.55205756,0.44089645,0.28179973,1.5724819,4.2076178,6,1,1,28000,18.83749459,37.67498919,
61,-0.6289227,0.2320534,-0.48401907,0.56243485,0.35712984,1.4694078,1.0640765,10,1,1,49000,22.70052094,45.40104187,
62,0.9560982,0.13267292,0.25244296,0.067428693,2.8854873,1.4318422,2.3994982,12,1,0,62000,24.55280003,49.10560006,
63,0.15548369,0.14433013,-0.77868307,0.59046286,1.6194737,2.0746984,0.36155066,23,1,0,304000,41.71206188,83.42412376,
64,0.22356628,-0.3994306,0.057376929,0.8872323,5.0140476,1.6098852,3.5521474,4,1,0,9000,12.90381021,25.80762041,
65,-0.62466478,0.53719848,0.052461088,0.56432223,5.4802299,1.9364679,0.61756235,25,1,1,307000,41.84882372,83.69764743,
66,0.31898296,0.17219409,0.38264319,0.84981364,3.2135122,0.74188221,2.223521,6,1,1,17000,15.95095797,31.90191594,
67,-0.064837955,-0.74115092,-0.018745674,0.6679371,2.3580587,0.89563709,1.6455842,3,1,0,25000,18.13915839,36.27831679,
68,-0.36230505,-0.2523849,0.83406824,0.33070692,5.6983194,0.91464251,4.4814267,11,1,1,152000,33.10688545,66.21377091,
69,-0.22768593,0.20530634,0.94413227,0.12092413,0.99456006,1.4715905,0.62972689,5,1,0,2000,7.815926418,15.63185284,
70,0.27796143,-0.32821304,0.88561201,0.17522827,3.5246305,2.388634,2.6734107,1,1,0,1000,6.203504909,12.40700982,
71,0.46117836,0.53948933,0.68222839,0.17558543,2.6676044,2.2230821,3.4056418,6,1,0,14000,14.95132937,29.90265873,
72,-0.65517426,0.013734217,-0.19188637,0.73057353,0.23589058,1.4292076,0.27780983,11,1,1,44000,21.90053323,43.80106646,
73,0.51818925,0.11180976,0.47289586,0.70380962,5.9190784,2.6611636,3.7566156,14,1,0,62000,24.55280003,49.10560006,
74,0.44925395,0.21250321,0.65554976,0.56856644,2.727082,1.0402246,1.8434293,17,1,1,341000,43.33996836,86.67993671,
75,-0.42170775,0.62144166,-0.22516809,0.62070298,3.1768522,0.9519406,5.0798898,15,1,0,65000,24.94259198,49.88518396,
76,0.71880579,-0.21578906,-0.15776727,0.64176536,3.935957,1.3302006,6.1949711,1,1,0,1000,6.203504909,12.40700982,
77,-0.79392022,0.4673329,0.38444725,0.059084591,4.3328586,2.3425856,5.3969073,15,1,1,90000,27.80041634,55.60083269,
78,-0.43621883,0.26287347,0.39010027,0.76709342,5.2703838,1.068749,0.071883857,23,1,1,340000,43.29756132,86.59512263,
79,-0.59952819,0.73891717,0.13265216,0.27743596,4.9480147,2.5164256,0.44316232,1,1,1,6000,11.27251652,22.54503304,
80,0.0226363,-0.83451277,0.45432666,0.31090721,2.1702559,1.2194039,3.836261,22,1,0,178000,34.89611914,69.79223828,
