2810
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.87166452,-0.40335345,0.091823541,0.26282191,2.372077,2.5773356,3.2388716,5,1,1,10000
2,0.8338967,0.20204371,0.31362677,0.40673435,1.6416513,1.072983,2.2350636,9,1,0,33000
3,-0.45505881,-0.82706285,0.052114639,0.32584137,5.6412792,2.4552865,5.1843591,4,1,0,3000
4,-0.75810242,-0.25325409,0.51893991,0.30305853,1.6935762,0.98514122,0.52034402,36,1,0,510000
5,-0.020448599,0.12186583,0.893843,0.43101653,5.1873775,0.73022932,5.4624925,14,1,0,40000
6,-0.31536439,0.65527141,-0.68037039,0.090888649,0.35632777,0.97237176,2.040801,13,1,0,151000
7,0.12410972,0.5684303,-0.46935195,0.66422325,2.3348849,2.1304622,0.71800697,12,1,0,49000
8,-0.13228719,0.39287329,0.0090648914,0.90998274,2.9087129,0.98177439,0.1184607,11,1,0,62000
9,0.51747561,0.63963425,0.56644756,0.047161203,4.5807719,0.54783022,4.5499249,11,1,0,112000
10,-0.099261686,-0.80466121,0.37632263,0.44838461,5.8861966,1.1137645,4.2474942,3,1,0,4000
11,-0.72910738,0.61956757,0.29062256,0.0087726796,4.0382099,2.5515611,5.4469213,5,1,1,9000
12,0.70202291,-0.10797299,-0.019200392,0.70365977,3.0162654,1.579785,3.3214791,7,1,1,87000
13,0.065915883,0.49659365,0.63884497,0.58388948,6.2829232,0.39801046,1.705056,3,1,0,1000
14,0.35601231,-0.30147797,-0.23343535,0.85315543,1.6712383,1.8129513,1.9790398,3,1,0,15000
15,-0.10630588,0.18696259,-0.97550321,0.046233494,0.46964788,0.43353105,2.5772266,40,1,1,936000
16,0.28264284,0.20203829,-0.34813547,0.87068665,4.1120105,0.9742561,3.8160524,6,1,0,21000
17,0.50612503,-0.19489165,-0.43266004,0.72018051,4.3969951,0.61031437,0.3711558,5,1,0,2000
18,0.43796819,-0.86044544,-0.024681259,0.25924554,2.4663129,1.0286683,4.0585113,15,1,0,88000
