168
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.35464135,-0.26791051,0.0068126787,0.8957718,2.4870133,0.92114729,3.7809615,16,1,1,0.41600001
2,0,0,0,1,2.504735,0.40540361,5.6498957,2,1,0,0.016000001
3,-0.036835756,-0.55879974,0.088974841,0.82369256,1.39737,1.1888019,4.6706109,1,1,1,0.0080000004
4,-0.12833568,-0.40407491,-0.85118443,0.30941644,3.3398645,0.82232219,2.4062936,4,1,0,0.024
5,-0.25045055,0.13103586,-0.21738578,0.93426311,6.0297637,0.57312918,0.71064907,2,1,1,0.064000003
6,0,0,0,1,4.1792316,1.7795695,1.3370183,5,1,0,0.040000003
7,-0.15436175,0.64261287,-0.74941587,0.039961651,0.18246974,1.4440148,2.8525763,3,1,1,0.016000001
8,0.11586546,0.76824808,0.23554996,0.58385462,4.628756,2.6349893,4.0987897,1,1,0,0.0080000004
9,-0.036045827,-0.57035774,0.35910448,0.73785955,1.0547435,1.2166547,4.3225656,6,1,1,0.024
10,0.19192578,0.2711266,-0.94245893,0.03776389,5.6271405,0.6772328,3.7175412,5,1,1,0.016000001
11,0.49545169,-0.62846625,-0.49798986,0.33401182,3.2183862,1.8555118,5.0247846,12,1,1,0.37600002
12,-0.27141774,-0.67485487,0.035694499,0.68529499,1.1363668,1.6290225,5.0427399,8,1,1,0.13600001
13,-0.14980571,-0.34509054,-0.32525834,0.86757004,5.8336205,1.4738145,2.9313765,2,1,0,0.0080000004
14,0.66245425,0.69044876,0.22870928,0.17924002,3.0416079,2.5519333,1.4294331,2,1,1,0.024
15,-0.14980571,-0.34509054,-0.32525834,0.86757004,5.7038717,1.498315,0.66151953,2,1,0,0.072000004
16,-0.12833568,-0.40407491,-0.85118443,0.30941644,3.1227539,1.5010191,2.2359684,2,1,0,0.0080000004
17,0.80916089,-0.20320466,0.45268977,0.31470379,1.9322424,1.9736737,2.4243264,16,1,1,0.2
18,0,0,0,1,5.8156643,2.8947461,2.8665538,5,1,0,0.024
19,0,0,0,1,0.6848045,1.2102841,2.2442465,3,1,0,0.048
20,-0.19429874,0.92980176,-0.30692789,0.059261363,0.015271527,2.5057418,2.7448571,6,1,1,0.080000006
21,-0.27353531,0.69439101,-0.43408725,0.50454724,5.7981162,1.6850455,1.9060134,6,1,1,0.048
22,0.26129052,-0.47261488,-0.29585096,0.78793061,2.4350238,1.1409569,4.5665417,12,1,1,0.40000001
23,-0.1740571,0.3794941,-0.066096947,0.90626681,5.2152219,0.86139888,1.2135718,10,1,1,0.088000007
24,-0.50469798,0.70017588,-0.50489032,0.010931937,0.60291159,2.0828087,2.4953837,2,1,1,0.024
25,0,0,0,1,4.6219993,0.88271332,4.1261382,4,1,0,0.016000001
26,0.50886095,-0.66388649,-0.54661226,0.039118234,3.7241197,1.9816254,5.5577722,9,1,1,0.13600001
27,-0.83384228,-0.41555077,0.177874,0.31683677,4.1170096,2.1832526,5.1401219,7,1,0,0.024
28,-0.71830821,0.55337775,-0.019092089,0.42123848,5.6720543,2.271018,0.70171642,4,1,1,0.024
29,-0.091743208,-0.78491127,0.24930815,0.55977041,1.035439,1.8224491,4.4097428,2,1,1,0.088000007
30,0.10070886,0.031534661,-0.56256819,0.81998801,0.47555366,2.0280073,3.9943948,1,1,0,0.024
31,0.10282752,0.0020069377,0.22536783,0.96883011,2.9325538,0.20605858,2.8935237,3,1,1,0.048
32,-0.18247083,-0.37613904,0.90140831,0.11263618,5.9558277,0.86262274,3.7175734,10,1,1,0.16000001
33,0.19552568,0.024443509,0.90708911,0.37196985,2.0843225,0.39669123,1.8355843,7,1,1,0.112
34,-0.85212559,-0.21911275,-0.47481433,0.020564884,1.7791961,2.1510749,1.2758278,2,1,1,0.0080000004
35,0.29167798,0.68554467,0.31817293,0.58627498,3.8128979,1.6811152,1.4758408,6,1,1,0.040000003
36,0.30443674,-0.8804118,-0.19030716,0.30980077,1.6112006,1.7521905,3.7546597,9,1,0,0.104
37,0.8439489,-0.36503866,-0.35429314,0.17021549,4.7811904,1.8125839,6.2610989,11,1,0,0.208
38,-0.82413322,-0.062542923,-0.53895098,0.16255665,1.3536011,1.9457338,1.2021128,5,1,1,0.064000003
39,0.51521182,0.28901681,-0.6473437,0.48163497,4.583952,1.2639517,3.5615036,2,1,1,0.0080000004
40,-0.44501948,0.16516784,0.18675932,0.86011523,5.7139826,0.98920476,0.1415748,7,1,1,0.056000002
41,0,0,0,1,6.2339597,2.397866,5.3092957,3,1,0,0.0080000004
42,0.8439489,-0.36503866,-0.35429314,0.17021549,2.1500506,0.88967991,1.7280821,5,1,0,0.072000004
43,0.45267463,-0.78949159,0.10755947,0.40027452,1.8288953,2.2868631,3.9292638,3,1,1,0.0080000004
44,0.056098968,0.40635309,0.44047078,0.79857093,2.4545746,2.397368,4.9303303,10,1,0,0.22400001
45,0.55831873,0.431245,0.65871257,0.26154476,2.6064441,1.5661805,1.2910776,5,1,1,0.048
46,0,0,0,1,5.5724926,1.8750981,2.5300844,8,1,0,0.104
47,0.558011,-0.42976221,0.70859885,0.042612031,0.9745754,1.5629399,2.2871437,5,1,1,0.048
48,0.26861346,-0.062697284,0.46972287,0.83861572,2.4017098,0.55891359,2.8603206,5,1,1,0.040000003
49,0.065561689,0.29672378,0.36456817,0.88019693,4.1022525,0.61752623,1.3955761,2,1,1,0.0080000004
50,0.56498069,0.69965357,-0.17458871,0.40099946,4.4437156,2.2362759,2.6607358,1,1,1,0.0080000004
51,0.31685865,0.50686318,0.7792688,0.18822964,2.8199019,1.2813928,0.79570413,1,1,1,0.12
52,0.8439489,-0.36503866,-0.35429314,0.17021549,3.8562775,2.3336763,4.6727509,7,1,0,0.064000003
53,-0.33163491,-0.63010961,-0.19793126,0.67364931,1.3720976,1.5848364,5.4826417,3,1,1,0.056000002
54,0,0,0,1,5.8246222,2.3353903,5.9023471,4,1,0,0.064000003
55,0.080229379,0.66719431,-0.70061839,0.2398933,6.0208287,0.79218632,1.6558421,6,1,0,0.040000003
56,-0.01286395,-0.88106084,0.3567535,0.3103115,5.8117256,1.3702916,5.560678,4,1,0,0.032000002
57,-0.55410433,0.39592859,-0.030089708,0.73164445,0.61019289,1.8670623,1.138014,6,1,0,0.016000001
58,-0.48078015,-0.4824053,0.015822014,0.73204184,0.76547527,1.4984621,5.4744897,6,1,1,0.032000002
