2847
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.95016378,-0.074118778,0.10091099,0.28550336,2.7239995,2.5263088,2.8796968,14,1,1,273000
2,-0.50391889,0.047538012,0.52669472,0.68293381,5.9886723,1.428339,4.0176578,7,1,0,15000
3,0.92443484,-0.032907855,-0.37606528,0.053964488,6.1569133,1.6972736,4.8055038,5,1,0,7000
4,-0.78280479,-0.25768456,0.33093542,0.45967066,3.8337286,1.9668239,5.778584,5,1,0,8000
5,-0.19480857,-0.35670328,-0.28075001,0.86947787,2.4920616,1.6554743,5.2358785,24,1,0,341000
6,-0.44842795,-0.77846652,0.16412207,0.40738946,3.3058379,2.2607875,2.1841242,9,1,0,52000
7,-0.78410763,0.059883345,0.58416206,0.2008581,2.5677514,2.8426776,5.6349936,4,1,0,2000
8,-0.78532958,-0.042020615,-0.46185166,0.41010344,2.0226648,1.3627526,0.95274615,13,1,0,59000
9,-0.79357731,0.31525078,-0.048729587,0.51814806,5.2327957,2.6435235,6.0847869,5,1,0,2000
10,-0.37735301,-0.87011492,-0.18328963,0.25866893,1.7780616,2.4964111,5.7380567,9,1,1,23000
11,0.90123421,0.29596841,-0.059678044,0.31083462,6.0048652,1.8961323,5.8089514,10,1,0,46000
12,0.19010387,-0.074885771,-0.90634048,0.36986414,3.9496777,0.41154149,4.7001863,10,1,1,83000
13,0.0077680955,0.091406815,-0.39320123,0.9148646,5.0335312,0.18373092,2.0614986,6,1,1,26000
14,-0.28318292,0.27102074,0.86113679,0.32372624,3.6344705,2.426873,1.1761277,1,1,0,1000
15,-0.61624491,-0.54513872,-0.56838763,0.001212761,2.2929118,1.9324998,0.84441346,2,1,1,5000
16,-0.49504128,0.71317059,-0.49011007,0.078191712,0.92713398,2.5578797,3.4319098,1,1,0,1000
17,-0.36249849,0.46036252,0.65568507,0.47617036,0.093626752,2.1701031,5.9150333,26,1,0,345000
18,-0.78589022,-0.42269453,-0.12530686,0.43359441,5.1581664,1.4583331,0.76883858,16,1,0,74000
19,-0.57501417,0.37440723,0.72407669,0.069934577,5.3403702,1.519182,1.0063705,8,1,0,8000
20,0.094093449,-0.59515107,-0.46947843,0.6453926,5.3276749,0.97035694,0.69855595,6,1,0,12000
21,-0.13164964,0.62270659,0.42803127,0.64163387,4.3324366,1.379828,0.77414936,16,1,1,239000
22,0.1689043,0.26024619,0.51962554,0.7960732,3.5584087,0.63091767,1.5681844,6,1,1,58000
23,0.4556244,-0.14203182,0.41255054,0.77590936,3.776655,1.034981,2.295146,4,1,0,4000
24,0.45323023,0.27339205,0.84625787,0.060718436,0.44917616,2.5506079,4.2334905,7,1,0,19000
25,0.42731705,-0.45660165,-0.61913657,0.47495791,4.6232848,0.02576883,2.802331,10,1,0,25000
26,-0.37908515,-0.12156928,-0.14449324,0.90589017,0.96593702,1.6171037,3.6077046,3,1,0,2000
27,-0.58808166,0.65311819,-0.41373238,0.23753344,0.21187265,2.146955,1.8873695,38,1,1,928000
28,0.76683724,0.032815833,-0.30692801,0.56274241,4.3495622,1.8517761,2.5609992,3,1,0,6000
29,0.37416863,0.33602792,-0.13986206,0.85294884,1.0241596,1.32379,4.38517,13,1,0,104000
30,-0.43618372,-0.40668857,-0.52216786,0.60966301,0.21985361,1.8011409,2.186209,14,1,0,37000
31,0.44580188,0.73346883,0.3134625,0.40623319,2.5964317,2.1964672,1.5919673,1,1,0,4000
32,0.59173548,-0.53423184,0.075252809,0.59898448,2.2822413,1.8453416,3.7509854,10,1,1,43000
33,0.18982631,0.15759329,-0.9653638,0.084870733,5.3175831,0.49858376,3.9318137,12,1,1,84000
34,0.12160341,-0.70123416,-0.35444587,0.60650742,0.53870666,1.9754976,2.4843521,13,1,0,71000
35,-0.89775997,-0.30268073,-0.059695221,0.31440091,0.92725921,2.2668061,5.1575589,9,1,0,51000
36,0.40196067,0.8934378,0.17774799,0.092747532,3.199748,2.7378755,0.90370256,12,1,1,83000
37,0.8253473,-0.1391165,0.29747227,0.45930246,2.5364082,2.0485833,3.9676285,2,1,0,2000
38,0.19521995,-0.16644475,-0.90195459,0.34736612,0.63441551,2.7444046,2.6574855,2,1,0,1000
39,0.041845813,-0.25666866,0.89272189,0.36799157,0.55260283,0.5261634,3.3709705,20,1,1,319000
40,-0.71004599,-0.28059578,0.20538495,0.61230528,0.30669492,1.2927485,6.0354147,6,1,0,5000
41,0.15522015,0.0061574229,0.74529517,0.64838564,3.0166996,0.26088819,0.6097436,5,1,0,4000
42,0.025396464,-0.25009844,0.93080437,0.26534706,5.5004683,2.5135491,3.9897528,1,1,0,1000
43,-0.045540147,-0.83388841,-0.33254716,0.43814221,3.5002098,1.524219,5.748507,11,1,0,125000
44,-0.33944911,-0.021919629,0.6099779,0.71569604,2.4749906,1.2810847,0.0054945387,12,1,0,49000
45,0.32512808,0.85410792,-0.25988305,0.31185302,3.4039819,1.4960628,4.6654372,2,1,0,1000
46,0.05374201,-0.57901442,0.63629144,0.50693917,3.8581901,2.3808208,2.5467854,6,1,0,45000
47,0.095631264,0.83835387,-0.053672567,0.53398186,5.9772105,1.9373169,5.3411927,7,1,0,15000
48,0.52658951,0.020497005,-0.12343735,0.84086061,0.084073879,2.6890006,5.3055558,5,1,0,5000
49,0.95227206,-0.1823824,-0.23619881,0.0642232,4.3990431,2.4324131,3.0122054,15,1,0,31000
50,0.1149871,0.43672258,-0.88261437,0.13054965,5.8788853,0.93713069,3.2521975,26,1,1,493000
51,-0.38666636,0.56981874,-0.023038702,0.72475165,0.4983722,2.1452904,2.7324905,6,1,0,9000
52,0.1612329,0.7602337,-0.52161741,0.35208508,1.1059885,2.2325227,0.26937878,11,1,0,54000
53,-0.68043667,0.20525883,-0.70325214,0.017636845,1.3503132,0.69871569,3.5545299,7,1,0,17000
54,-0.12181113,-0.13845646,-0.97949046,0.081180423,2.3164093,1.5532218,1.2128199,1,1,0,1000
55,0.35502532,0.69192523,0.10446296,0.61990643,4.0713725,1.7819693,1.8779217,1,1,1,1000
56,0.20486915,0.87385106,0.20552389,0.39009345,1.3744739,2.404839,5.6746325,12,1,0,110000
57,-0.58810604,0.027949221,-0.80711293,0.043804437,1.4690882,1.2590721,1.564065,16,1,1,183000
58,-0.11537967,-0.35017884,-0.31268364,0.87538064,4.318687,0.60664415,3.9879205,5,1,0,5000
59,-0.54789096,0.41891283,-0.5319277,0.49130487,0.17230335,1.522122,1.4778523,6,1,1,24000
60,0.1984673,-0.3243193,-0.76367658,0.52175272,6.0856023,1.9682629,4.2304363,15,1,0,163000
61,-0.4138239,0.86299324,-0.24335872,0.1573814,1.5955831,0.75521439,5.3737469,8,1,0,68000
62,0.15612558,-0.96732116,0.19934987,0.013199314,2.4115076,2.0780258,1.1182909,1,1,0,2000
63,0.33353829,-0.62803549,0.24118689,0.66041851,4.2084694,0.85809392,2.0010552,20,1,0,220000
64,-0.34598693,-0.78654331,-0.51150483,0.0023510507,1.5876038,1.0235411,0.7906245,12,1,0,32000
65,-0.89754784,0.24829516,-0.30762941,0.19524725,0.72094756,2.7974892,4.9779282,39,1,0,917000
66,-0.12181113,-0.13845646,-0.97949046,0.081180423,1.8576579,0.67408514,2.8578765,3,1,0,10000
67,-0.58823895,0.6572876,-0.39736399,0.25308058,0.16290754,2.1604872,1.8444653,7,1,1,36000
68,0.44354171,-0.62759703,0.38535172,0.51078045,1.6323217,2.6386199,4.9702849,10,1,0,44000
69,0.38935116,0.4375926,0.28553182,0.75854462,2.2937093,0.6876778,4.0660501,14,1,0,61000
70,-0.19971058,-0.63839608,-0.72745973,0.1528677,2.0674276,2.3058429,4.887579,10,1,0,75000
71,-0.6545198,0.75074518,-0.050818685,0.073505223,0.44336778,0.93312579,4.3972731,5,1,0,18000
72,-0.16840662,-0.57563812,-0.75782943,0.25685501,0.69801027,2.6677966,1.0968606,1,1,0,3000
73,-0.82642227,-0.1119293,0.51629281,0.1947812,5.2077665,1.9725186,4.9385281,2,1,1,4000
74,-0.27900326,0.62750643,-0.72668606,0.017896282,3.7534661,2.2423561,5.3150411,3,1,0,4000
75,-0.61930859,-0.00082565082,-0.059771866,0.7828688,5.7800107,0.45757002,4.2805972,6,1,0,23000
76,-0.3819305,0.078119911,0.81295735,0.43258145,4.9996352,0.80091125,5.4031487,8,1,1,52000
77,0.8253473,-0.1391165,0.29747227,0.45930246,1.7088453,1.5821491,3.874032,11,1,0,33000
78,-0.044067405,-0.51336884,-0.53552949,0.66911787,0.10387228,1.9012705,5.0644808,3,1,0,2000
79,-0.80282235,0.54227978,0.22984318,0.09263397,4.5014353,2.640758,5.6895757,5,1,1,24000
80,0.48467162,-0.73868448,0.28265631,0.3735559,1.503715,2.166538,3.4839654,36,1,1,1029000
81,0.20406058,0.17877741,0.35339752,0.89526987,3.7421927,1.9587648,2.0177011,9,1,0,23000
82,0.78988701,-0.25031146,0.49404269,0.26333341,1.2202024,0.83322281,6.2255502,2,1,0,11000
83,0.73550063,-0.18933733,-0.65016192,0.021901671,3.8447707,2.0036404,3.685674,2,1,0,1000
84,-0.6896323,0.088341556,0.71083641,0.10637046,0.64400768,0.35885656,3.8206835,1,1,0,1000
85,-0.79589295,0.081948265,-0.35865673,0.48083711,0.76043653,1.2759513,2.8129275,17,1,0,212000
