2749
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.87982452,-0.31094176,-0.19577752,0.3014884,0.91564465,2.4061768,0.23621973,9,1,1,37000
2,0.45785859,0.39903867,0.53162992,0.59034163,3.1253386,1.3054253,1.6916131,7,1,1,58000
3,0.15670235,0.25857836,0.9229008,0.23840235,1.6223707,2.0300105,2.1164002,12,1,0,66000
4,0.029838178,-0.55803776,-0.72985959,0.3937113,1.2682955,1.8407024,6.2370372,8,1,0,24000
5,0.076252982,-0.17838271,0.5603599,0.80520922,1.694343,1.9932703,3.9427381,6,1,0,32000
6,-0.23464623,0.66053015,0.67856091,0.21953607,3.7958307,1.5535134,6.2547541,17,1,1,326000
7,0.077830672,0.95717359,-0.12588382,0.24882612,5.2964993,1.0953718,3.7485406,12,1,0,147000
8,0.3756566,0.82472616,-0.38330922,0.17827757,4.4495077,1.2326279,2.4530864,13,1,0,87000
9,0.51694781,0.59101194,0.61860454,0.028253123,0.95683575,1.9180354,2.8316174,11,1,0,45000
10,-0.41394293,-0.59449065,0.11779601,0.67923212,5.2496343,1.4695643,2.9027691,2,1,0,6000
11,0.29283249,0.21634792,-0.86958915,0.33355266,4.6397791,2.4737666,2.2121921,65,1,0,2175000
12,0.11424308,-0.18248279,0.51643282,0.8288219,1.5729227,0.43398553,3.5958095,7,1,1,25000
13,-0.71296996,0.57895732,0.19863823,0.34208938,4.2395716,1.2334561,4.361167,6,1,0,21000
14,0.41363534,-0.78943902,-0.036190029,0.45208636,5.1133943,2.7053623,5.1263204,19,1,0,82000
15,-0.61832118,0.63154417,-0.45275676,0.11765239,4.4767599,2.3452022,4.9083962,13,1,0,70000
16,0.74039429,-0.33044168,-0.55825734,0.17599222,4.4326234,0.87256503,1.3958174,5,1,0,3000
17,-0.67469412,0.28625178,0.67723238,0.06483914,4.4065881,1.6451693,5.2090907,12,1,1,73000
18,-0.33451179,-0.85124409,-0.36432758,0.17535898,0.20561579,0.42940009,1.6895744,20,1,0,166000
19,-0.2065063,0.31277364,-0.85004431,0.37007087,1.7055562,0.99162233,4.4201217,15,1,0,113000
20,0.02830326,-0.0040976275,0.98918402,0.14386417,1.571444,0.057204481,1.8589977,12,1,1,101000
21,-0.32278526,0.76703447,-0.45598248,0.31551191,5.8877172,0.85414958,5.2197838,10,1,0,45000
22,0.15670235,0.25857836,0.9229008,0.23840235,3.0275738,1.3876483,0.24293156,8,1,0,38000
23,0.12177349,0.25665557,-0.86729956,0.40876713,5.8307471,1.1826069,1.3374658,19,1,0,112000
24,-0.41016632,-0.78661472,0.29270038,0.35682961,0.10645896,1.8944278,2.915894,7,1,0,14000
25,0.014804211,-0.79408991,-0.59041309,0.14357731,0.51993293,2.0346222,1.3370982,3,1,0,8000
26,-0.44001555,0.70769441,0.46034238,0.30600616,4.1382699,2.4639399,1.8978802,5,1,0,15000
27,0.72139388,0.58045638,-0.27482793,0.25909621,0.3510468,1.8212905,6.1289568,1,1,0,1000
28,-0.035712883,-0.056851856,0.87258214,0.48383141,6.2285848,0.13437755,4.2087498,10,1,1,56000
29,0.41638526,0.52866769,-0.6335029,0.38184786,1.8938419,1.0433234,2.9890976,5,1,0,8000
30,0.089343525,0.22971235,0.9277274,0.28030682,3.0640821,0.49808314,0.6643548,10,1,1,47000
31,-0.35843134,0.7190603,0.56584328,0.18520416,0.46665421,1.7292994,3.2202106,6,1,0,5000
32,-0.39055637,0.62994272,0.64838922,0.17386557,2.8506405,1.7702897,3.4332101,5,1,0,4000
33,-0.71273434,0.58525926,-0.38662815,8.4649815e-05,4.8400335,1.4919575,1.1285806,3,1,0,7000
34,-0.92055416,-0.3112784,0.18280874,0.14922056,5.7230425,2.6651421,5.0708976,6,1,1,54000
35,-0.22597916,-0.49679106,0.69731438,0.46463397,0.16085924,1.1546222,4.1562576,34,1,1,1293000
36,0.94587439,0.1602757,0.13236833,0.24922274,2.8212092,2.5694325,2.4855037,4,1,1,18000
37,0.093706906,-0.23826943,-0.75459719,0.60417694,2.6742623,2.1091108,2.0034976,7,1,0,23000
38,0.41638526,0.52866769,-0.6335029,0.38184786,4.0877957,2.0633194,2.4469218,16,1,0,189000
39,-0.14486988,0.66128498,0.49758869,0.54232872,4.1856532,1.4872694,0.61272824,8,1,1,37000
40,-0.70291519,-0.14294901,0.18743753,0.671076,6.2114472,1.5998487,5.8101873,11,1,1,100000
41,-0.36086035,-0.57144094,0.21724571,0.70430064,3.715646,1.5563369,6.2018981,8,1,0,15000
42,-0.41737825,0.7007423,-0.57602042,0.054370146,0.56433094,2.2198148,4.5824513,6,1,0,6000
43,0.21491928,-0.91468942,0.21511173,0.26623273,5.3816943,1.0992737,1.5265156,10,1,0,28000
44,-0.12353554,-0.18470594,0.93447548,0.27816948,5.9830132,0.44816127,4.0204082,3,1,1,10000
45,0.47367951,-0.75474805,0.12935759,0.4350284,1.9040797,0.9491787,4.997766,10,1,0,89000
46,0.5525319,-0.43069476,0.30598688,0.64465696,0.62828732,2.5394936,0.36270356,5,1,0,4000
47,0.17350727,0.28439468,-0.047700293,0.94166851,2.1082735,2.0921597,1.5814471,5,1,0,6000
48,0.44614553,0.045773238,-0.7799558,0.43649504,4.0042243,1.5263507,2.5562215,11,1,0,76000
49,0.34633824,-0.55537117,0.73806655,0.16392194,3.6470301,1.3481014,0.83088267,11,1,0,61000
50,0.6482935,0.53039038,0.27729979,0.47064465,2.9486833,2.0598135,3.3622348,16,1,0,188000
51,-0.087540753,-0.65981644,-0.31437185,0.67686719,4.9504347,1.1301678,3.0249209,13,1,0,54000
52,0.35329899,-0.38445464,-0.21914715,0.82422632,4.2312231,0.59986001,3.6839869,19,1,0,212000
