111
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.14737599,0.91886157,-0.030737692,0.36473119,4.9555006,2.3921266,1.4958375,7,1,1,0.048
2,0,0,0,1,6.0835962,1.4957052,2.7749829,4,1,0,0.016000001
3,0.31419611,-0.088996425,-0.87658161,0.35350397,4.053041,0.66531742,4.605083,8,1,1,0.096000001
4,0,0,0,1,3.6544864,2.0504093,4.4212427,4,1,0,0.032000002
5,0.054177079,-0.83990818,0.047539487,0.53792107,1.5470632,2.0006764,4.5598273,3,1,1,0.0080000004
6,0.90580887,-0.15562163,0.094056457,0.38268206,1.3904983,1.4776659,0.22426893,3,1,0,0.016000001
7,0.90580887,-0.15562163,0.094056457,0.38268206,4.5875678,0.95611262,4.189764,3,1,0,0.040000003
8,-0.60779834,0.50908542,-0.33133233,0.51149994,6.1607437,1.8308924,1.272048,9,1,1,0.33600003
9,0.22810331,-0.4879781,-0.1809786,0.82285666,2.2245557,1.1376898,4.4916148,5,1,1,0.032000002
10,-0.1926633,-0.88487285,-0.27673909,0.3213976,2.067286,2.2656045,5.6376467,4,1,1,0.208
11,-0.0069004279,0.077572256,-0.60357839,0.79349101,5.4514003,0.15591501,2.132365,6,1,1,0.032000002
12,0,0,0,1,4.1109939,0.84653449,4.1325817,4,1,0,0.016000001
13,0.3506802,0.17108274,-0.50062281,0.77274245,4.1703448,0.80166936,3.2625682,5,1,1,0.0080000004
14,0.2349188,0.87575287,0.34259304,0.2459677,3.502192,2.2708514,0.88475537,1,1,1,0.0080000004
15,0.36109489,-0.50298554,0.72681808,0.29723978,1.0108476,1.3353963,2.9071589,3,1,1,0.0080000004
16,-0.71733814,-0.48114273,0.013745749,0.50372493,0.56353116,2.0853479,5.665091,5,1,1,0.024
17,0.066303432,0.4527002,0.88549262,0.081050895,3.0874422,0.95043057,0.23670574,6,1,1,0.032000002
18,-0.15152429,0.00065140473,-0.98498321,0.082752764,1.4826797,0.30422321,1.4912777,2,1,1,0.0080000004
19,0.13061723,-0.43754983,-0.88729459,0.064789072,3.3588016,0.9484064,5.920198,5,1,1,0.0080000004
20,0.051534448,0.50904351,-0.56713831,0.64542466,5.3324199,1.0741978,2.3926153,3,1,1,0.18400002
21,0,0,0,1,2.0413237,3.0017095,0.27349272,5,1,0,0.024
22,-0.095596746,0.41179585,0.099405438,0.90077966,4.8305845,0.87294751,1.2327807,8,1,1,0.16000001
23,-0.17891143,0.18127504,0.96069539,0.11042815,4.0348725,0.51506621,5.618793,2,1,1,0.0080000004
24,0.24623589,0.51297593,-0.07266359,0.81911147,4.3533359,1.2106116,2.1068068,3,1,1,0.016000001
25,0,0,0,1,2.0354266,0.575773,1.4062237,1,1,0,0.0080000004
26,-0.68458456,-0.13821958,-0.27232575,0.66187465,0.5895592,1.5463152,0.19111006,4,1,1,0.14400001
27,-0.71139765,-0.52597648,0.46602181,0.0092625422,5.3689165,2.1718063,4.0956078,1,1,1,0.0080000004
28,0,0,0,1,0.074290559,1.8248136,2.3399193,2,1,0,0.024
29,-0.63257807,-0.77133721,-0.063997857,0.028073639,4.7389369,0.69376868,2.3670568,2,1,0,0.016000001
30,-0.5896284,0.52296591,0.30389231,0.53525174,5.0412588,1.8155425,0.20918038,1,1,1,0.096000001
31,0.039002936,-0.44933894,0.73107332,0.511962,0.69750309,0.93583477,3.6659284,13,1,1,0.61600006
