431
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.011612459,-0.72544158,0.29207939,0.62312865,1.1484817,1.6236215,4.2580624,9,1,1,0.22400001
2,-0.400464,0.6817438,0.59979862,0.12286419,3.9825923,2.4618566,5.200737,2,1,0,0.016000001
3,-0.18843231,0.25314525,-0.899988,0.30071968,5.6069431,1.9269153,2.3007772,1,1,0,0.0080000004
4,0,0,0,1,1.7847836,2.9349563,1.5196944,5,1,0,0.048
5,0,0,0,1,0.91568434,1.8787992,4.1524034,1,1,0,0.0080000004
6,-0.32697561,0.62180209,0.67251217,0.23275858,3.9589059,1.5578977,6.1322699,6,1,1,0.104
7,-0.12231837,-0.25011963,-0.44695216,0.85012478,5.3737893,2.1344552,0.75596559,4,1,0,0.024
8,-0.52916259,-0.53069049,0.54018551,0.38282394,6.1157627,1.6944017,4.5420833,1,1,1,0.016000001
9,-0.53552538,-0.3668322,-0.53300309,0.54272866,1.3769419,1.4128469,0.17577316,7,1,1,0.112
10,0,0,0,1,3.207231,2.7289605,2.3941848,1,1,0,0.016000001
11,-0.4312498,0.53295583,0.63684934,0.35271049,4.3276815,1.5107969,6.108664,6,1,1,0.088000007
12,0,0,0,1,0.42219767,2.5096984,2.6887116,3,1,0,0.032000002
13,0,0,0,1,4.9457126,1.8760689,2.7607689,1,1,0,0.0080000004
14,0.77326375,-0.53938156,-0.33093634,0.040147252,2.3428566,2.1168365,1.4293381,1,1,0,0.024
15,-0.038608801,0.95032722,-0.15417425,0.26761493,0.94815099,1.0953088,4.8070207,1,1,0,0.0080000004
16,0.19187835,0.97013754,-0.066692963,0.13254394,4.9833097,2.8437381,2.2322462,5,1,1,0.072000004
17,-0.368458,0.037777245,0.23271817,0.89925182,3.4644144,1.1884536,2.2902906,5,1,0,0.056000002
18,0.67249459,0.57012659,-0.47029242,0.039136656,5.3325658,2.1586626,3.9261596,2,1,1,0.0080000004
19,-0.12231837,-0.25011963,-0.44695216,0.85012478,4.3631597,0.85878593,5.191967,1,1,0,0.024
20,-0.038608801,0.95032722,-0.15417425,0.26761493,3.8431129,1.3834904,2.2877357,4,1,0,0.024
21,0.69463205,-0.5911653,-0.075838156,0.40281317,2.4827948,1.4042202,5.0202141,1,1,0,0.0080000004
