684
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.27090099,-0.67715031,-0.15038954,0.66743022,5.4365172,1.6872838,1.9341525,1,1,0,0.015625
2,0.09304148,0.045604572,-0.44213495,0.89094341,0.1677819,2.0746229,3.5689189,1,1,0,0.015625
3,-0.075977325,0.75399268,0.26851854,0.59465981,2.2610378,0.8126756,5.7131481,1,1,0,0.015625
4,0.11095953,-0.27332613,0.91573781,0.27277291,4.9339366,0.44148558,4.067492,1,1,0,0.046875
5,0.7894609,0.20449884,-0.48131657,0.32135037,4.377172,1.9072446,3.8702421,1,1,1,0.015625
6,0.30148402,0.70568186,0.62910688,0.12387525,1.3370141,2.4401829,4.0528879,4,1,0,0.03125
7,-0.83032238,0.191402,0.29626825,0.43145701,5.4549046,2.0399594,5.90802,8,1,1,0.578125
8,0.70977008,-0.67482239,0.061376382,0.19254655,1.0848023,2.1452446,4.2395768,3,1,0,0.078125
9,0.11043172,-0.20289367,0.9577378,0.17139786,5.6521039,1.4726053,6.2075219,7,1,0,0.046875
10,0.11288182,0.83700895,-0.50141722,0.18776162,0.25149906,2.6253991,4.189395,2,1,0,0.015625
11,-0.97089303,-0.074789643,0.17682698,0.1431971,1.6150599,1.9638355,2.9260397,3,1,0,0.03125
12,-0.018398141,0.28782591,0.46202433,0.83866042,4.2726836,0.58513862,1.0034225,1,1,1,0.015625
13,0,0,0,1,1.7174057,1.6174849,3.2024281,1,1,0,0.015625
14,-0.43528041,0.52298033,0.27038479,0.68111271,5.6964159,1.880288,3.6342759,1,1,0,0.015625
15,-0.24933873,0.23014958,0.93760067,0.075936995,2.7046318,2.5643106,5.0158157,1,1,0,0.015625
16,0,0,0,1,5.1377273,1.1411005,5.7821083,1,1,0,0.015625
17,0.88999981,-0.40637603,-0.2054451,0.023476545,4.17028,2.725023,5.0269418,3,1,1,0.015625
18,0.51661205,0.71120006,0.067569159,0.47195432,3.9419646,2.1476471,2.0568156,11,1,1,0.359375
19,-0.22978659,-0.88294852,0.15158205,0.38029331,0.21458955,1.8833623,1.9734479,3,1,0,0.015625
20,0.52514023,0.82995689,0.12701069,0.13880737,3.4072003,2.7630429,1.3938878,2,1,1,0.1875
21,0,0,0,1,3.0142987,2.2259679,4.2378678,4,1,0,0.015625
22,0.9743557,0.18732344,0.018209716,0.12332621,5.1437955,1.4453173,1.9999489,1,1,0,0.015625
23,-0.2626909,0.84677154,-0.45258987,0.095570885,0.092704996,2.1798081,2.6326733,18,1,1,0.984375
24,0.11095953,-0.27332613,0.91573781,0.27277291,3.9042675,1.1958047,1.5573235,3,1,0,0.015625
25,0.11288182,0.83700895,-0.50141722,0.18776162,1.0752662,2.8045859,0.55670661,1,1,0,0.015625
26,0.48271602,-0.39165679,-0.77523613,0.11224604,3.8869686,1.3416148,5.2502284,1,1,1,0.015625
27,-0.74868768,0.55735987,0.3114123,0.17843513,4.5927696,2.407392,5.8726478,1,1,1,0.015625
28,0.11288182,0.83700895,-0.50141722,0.18776162,4.7685671,0.14506653,5.3580351,1,1,0,0.015625
29,0.36706489,0.29328272,-0.79800379,0.37741026,4.9447479,0.97822332,3.5964932,11,1,1,0.5
30,0.32500929,0.94287825,-0.05123939,0.052193552,5.1566176,2.9951794,2.6789143,4,1,1,0.03125
31,0,0,0,1,0.44914606,1.0737234,3.81517,1,1,0,0.015625
32,0,0,0,1,0.84709609,1.0181642,2.3085771,2,1,0,0.015625
33,0,0,0,1,3.2028604,2.9586954,3.9479578,1,1,0,0.015625
34,-0.43528041,0.52298033,0.27038479,0.68111271,1.2713671,2.3669138,0.49830344,3,1,0,0.015625
35,0.14632358,-0.35613352,-0.75710207,0.52778286,2.9226487,0.79046255,5.2845626,1,1,1,0.015625
36,0,0,0,1,0.48432463,2.6531703,0.83666283,1,1,0,0.015625
37,-0.85056102,0.23564835,0.17318416,0.43706191,5.6356478,2.1627319,6.1761909,2,1,1,0.046875
38,-0.9367668,0.2402322,0.12176269,0.22345087,5.5332127,2.6269875,6.0352893,4,1,1,0.203125
39,-0.13403113,0.73494744,-0.3439014,0.56887585,2.5317459,2.3503718,1.8622118,3,1,0,0.015625
40,0.10294592,-0.51286167,0.29004008,0.80140615,1.4216431,1.100949,4.1670442,4,1,1,0.171875
41,0.12892066,-0.14301059,0.16663165,0.96703738,2.3221612,1.4138548,5.2398186,6,1,0,0.0625
42,-0.78688025,-0.043045711,-0.47184071,0.39538956,0.92797625,1.8152919,0.81867665,6,1,1,0.0625
43,0.41474143,0.43658662,-0.056797042,0.79633898,4.0238476,1.2924528,2.4017422,3,1,1,0.015625
44,0,0,0,1,5.3228016,1.1612285,5.5393887,1,1,0,0.015625
45,0.11288182,0.83700895,-0.50141722,0.18776162,1.9447166,1.8192558,1.2120619,2,1,0,0.015625
46,0,0,0,1,5.0272803,2.5017993,3.9200606,2,1,0,0.03125
47,0.13264947,0.57367378,-0.35032961,0.72840351,4.9334507,1.2591721,2.2463269,1,1,1,0.015625
48,0,0,0,1,4.5325284,2.3292317,0.73114759,3,1,0,0.03125
49,0.28986555,-0.057534881,0.79943961,0.52303356,4.8841324,1.257894,0.40949026,1,1,0,0.015625
50,0,0,0,1,6.2036157,1.5954119,1.0624287,5,1,0,0.046875
51,0,0,0,1,4.4848719,1.7794806,1.6978687,3,1,0,0.015625
52,0.094126634,0.94217908,0.22091629,0.23374075,0.68685412,1.669104,0.83481938,3,1,0,0.046875
53,-0.13889155,0.304717,0.93249381,0.13532177,3.7133758,0.68295163,5.9996266,7,1,1,0.0625
54,-0.0011537885,-0.49129352,0.61143517,0.62030351,1.9542122,0.60000038,2.3460951,3,1,0,0.015625
55,-0.20681676,-0.86627966,0.27522394,0.36199191,0.74289256,2.2077565,6.1169825,3,1,0,0.03125
56,-0.44444942,-0.24594925,-0.65358686,0.56106848,1.3668541,1.0656365,0.35598567,5,1,1,0.03125
57,0.45774746,-0.22969534,-0.19375569,0.83675933,2.9040546,1.075361,3.8342197,6,1,1,0.0625
58,-0.68011183,0.16848648,0.41973981,0.57695645,5.4113917,1.5526749,5.8970804,7,1,1,0.21875
59,0.11288182,0.83700895,-0.50141722,0.18776162,2.6867416,1.3740134,5.5492606,4,1,0,0.015625
60,-0.36250842,0.51351064,-0.11278611,0.76952821,5.4726205,1.3594372,1.1016231,3,1,1,0.078125
61,-0.13403113,0.73494744,-0.3439014,0.56887585,1.6623151,1.1718433,5.3524566,4,1,0,0.03125
62,-0.47258905,-0.048367966,0.82227755,0.31333652,5.178453,0.99005932,4.9744697,11,1,1,0.390625
63,-0.16722414,-0.52796209,0.46807507,0.68862027,0.66706645,1.1738714,4.4221363,1,1,1,0.015625
64,0.11288182,0.83700895,-0.50141722,0.18776162,4.9690609,2.7033176,5.4838591,2,1,0,0.03125
65,0.11288182,0.83700895,-0.50141722,0.18776162,5.9174752,1.0310768,1.1963204,1,1,0,0.015625
66,-0.68397635,0.46101376,0.099904805,0.5564726,4.8619251,1.7872814,2.1813531,4,1,0,0.03125
67,0.35159636,0.59111458,-0.35196775,0.63488758,4.6819983,1.516843,2.6135836,2,1,1,0.03125
68,0,0,0,1,2.5893683,2.6116939,4.804914,5,1,0,0.03125
69,0.564879,-0.17234555,-0.73432338,0.33463094,3.9886746,1.2635685,4.580936,5,1,1,0.1875
70,0.073142149,-0.68533939,0.40818417,0.59861988,1.0786598,1.5208553,4.0076094,2,1,1,0.015625
71,-0.46405923,-0.81793821,0.23039901,0.2500847,1.4832165,1.1201534,0.30576301,5,1,0,0.046875
72,0,0,0,1,6.2393184,0.46050119,1.1059668,4,1,0,0.046875
73,-0.017989827,-0.83387721,0.49685875,0.23970105,0.4279252,1.972894,3.6126585,1,1,1,0.015625
74,0,0,0,1,3.4958105,1.485692,0.33537555,1,1,0,0.015625
75,0,0,0,1,5.7422009,0.19042438,6.0918226,4,1,0,0.03125
76,0.19314902,-0.59741771,-0.10728741,0.77089232,2.3964148,1.4956977,1.008411,6,1,0,0.234375
77,-0.13403113,0.73494744,-0.3439014,0.56887585,0.96241814,1.5274405,4.7046475,1,1,0,0.015625
78,0.044717379,-0.79035783,-0.2948904,0.53513962,2.1309662,1.8269178,5.1595221,5,1,1,0.03125
79,0,0,0,1,4.1477904,0.88262975,1.0409472,2,1,0,0.015625
80,0,0,0,1,1.080065,0.82680887,1.4558989,1,1,0,0.015625
81,0,0,0,1,3.0603197,0.47833371,4.721806,1,1,0,0.015625
82,0,0,0,1,4.4647298,0.95834535,1.9133242,2,1,0,0.015625
83,0,0,0,1,2.03141,1.3253655,5.5123982,8,1,0,0.140625
84,0,0,0,1,2.376678,2.8479943,0.020368177,4,1,0,0.0625
85,0,0,0,1,4.2395153,1.7675712,0.03778642,1,1,0,0.015625
86,-0.09946835,0.57365584,0.81020117,0.067816399,3.3967876,1.2429023,6.1950068,1,1,1,0.015625
87,0,0,0,1,3.3073161,0.462235,5.5753417,1,1,0,0.03125
88,0.65922195,-0.50687796,0.42490363,0.35771233,2.4165545,2.1183577,0.29778984,1,1,0,0.015625
89,0.6438418,0.41827649,-0.062130284,0.63769299,3.8148501,1.7507409,2.6625817,5,1,1,0.046875
90,0,0,0,1,2.9091384,1.6834431,1.1588931,6,1,0,0.03125
91,-0.45181099,-0.12913345,0.52875096,0.7068336,5.9193206,0.97836131,5.3625388,5,1,1,0.078125
92,0,0,0,1,5.9079633,1.1556458,6.035933,3,1,0,0.015625
93,0,0,0,1,0.54801172,1.7784876,2.1880794,3,1,0,0.015625
94,0,0,0,1,2.6123719,1.2177564,0.9268555,1,1,0,0.015625
95,0,0,0,1,1.1982569,1.4525943,6.1357617,7,1,0,0.09375
96,0,0,0,1,2.6045613,1.0159684,4.1696048,2,1,0,0.015625
97,-0.022823064,-0.76957577,-0.060223952,0.63529938,2.5459766,2.4431281,1.6295828,2,1,0,0.078125
